"Method","Time (ms)","Own Time (ms)"
"mb.nabl2.terms.matching.ApplPattern.matchTerm(ITerm, ISubstitution$Transient, IUnifier$Immutable, Pattern$Eqs) ApplPattern.java","3225","41"
"mb.statix.spec.RuleUtil.instantiateHeadPatterns(Rule) RuleUtil.java","3200","158"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.normalizeDiseq(IUnifier$Immutable, Function0, Diseq, PersistentUnifier$Transient) PersistentUniDisunifier.java","3180","52"
"io.usethesource.capsule.core.PersistentTrieSet$TransientTrieSet.__insert(Object) PersistentTrieSet.java","3043","0"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet.__insertWithCapability(AtomicReference, Object) PersistentTrieSet.java","3038","35"
"mb.statix.concurrent.StatixSolver$$Lambda$1001.apply(Object, Object)","2992","39"
"mb.nabl2.terms.Terms$CaseBuilder$1.caseAppl(IApplTerm) Terms.java","2968","22"
"mb.statix.concurrent.StatixSolver.lambda$13(Function0, Object, Throwable) StatixSolver.java","2953","2765"
"mb.nabl2.terms.matching.ApplPattern$$Lambda$504.apply(Object)","2950","120"
"mb.p_raffrayi.actors.impl.Actor.lambda$14(ICompletableFuture, Object, Throwable) Actor.java","2855","0"
"mb.p_raffrayi.actors.impl.Actor$$Lambda$1080.dispatch()","2855","0"
"mb.nabl2.terms.matching.ApplPattern.lambda$0(ISubstitution$Transient, IUnifier$Immutable, Pattern$Eqs, IApplTerm) ApplPattern.java","2829","259"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.disunify(Iterable, IUnifier$Immutable, Predicate1) PersistentUniDisunifier.java","2808","38"
"org.metaborg.util.future.CompletedExceptionallyFuture.compose(CheckedFunction2) CompletedExceptionallyFuture.java","2803","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$660.apply(Object)","2769","11"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$22(ITermVar, ITerm) PersistentUnifier.java","2757","3"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.unifyVarTerm(ITermVar, ITerm) PersistentUnifier.java","2754","37"
"mb.nabl2.terms.matching.Pattern.matchTerms(Iterable, Iterable, ISubstitution$Transient, IUnifier$Immutable, Pattern$Eqs) Pattern.java","2615","259"
"mb.nabl2.terms.build.ATermVar.match(ITerm$Cases) ATermVar.java","2574","94"
"mb.nabl2.terms.Terms$CheckedCaseBuilder$1.caseVar(ITermVar) Terms.java","2527","0"
"mb.p_raffrayi.impl.AbstractUnit._query(IActorRef, ScopePath, IQuery, DataWf, DataLeq) AbstractUnit.java","2481","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$21(ITermVar, ITermVar) PersistentUnifier.java","2451","2"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$658.apply(Object)","2451","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.unifyVars(ITermVar, ITermVar) PersistentUnifier.java","2448","60"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.__put(Object, Object) PersistentTrieMap.java","2383","44"
"mb.statix.concurrent.StatixSolver.lambda$9(IDebugContext, IConstraint, ITypeCheckerContext, ICompleteness$Immutable, ICancel) StatixSolver.java","2380","3"
"mb.statix.concurrent.StatixSolver$$Lambda$1025.apply()","2380","0"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.__putEquivalent(Object, Object, EqualityComparator) PersistentTrieMap.java","2373","443"
"mb.statix.constraints.CExists.unsafeApply(ISubstitution$Immutable) CExists.java","2342","65"
"mb.nabl2.terms.build.AAppl2Term.match(ITerm$Cases) AAppl2Term.java","2327","29"
"mb.statix.constraints.CConj.apply(ISubstitution$Immutable) CConj.java","2282","9"
"mb.statix.constraints.CConj.apply(ISubstitution$Immutable) CConj.java","2282","10"
"mb.statix.constraints.CExists.unsafeApply(ISubstitution$Immutable) CExists.java","2277","0"
"io.usethesource.capsule.core.PersistentTrieMap.asTransient() PersistentTrieMap.java","2242","599"
"mb.statix.spec.ApplyStrict.apply(IUniDisunifier$Immutable, Rule, List, IConstraint, ApplyMode$Safety) ApplyStrict.java","2238","33"
"io.usethesource.capsule.core.PersistentTrieMap$CompactMapNode.findByKey(Object, int, int, EqualityComparator) PersistentTrieMap.java","2219","390"
"mb.statix.concurrent.StatixSolver$ConstraintDataWF.wf(Object, ITypeCheckerContext, ICancel) StatixSolver.java","2217","7"
"mb.statix.concurrent.StatixSolver$ConstraintDataWF.wf(ITerm, ITypeCheckerContext, ICancel) StatixSolver.java","2210","9"
"mb.statix.concurrent.StatixSolver.entails(ITypeCheckerContext, IConstraint, ICompleteness$Immutable, ICancel) StatixSolver.java","2186","0"
"java.util.Spliterators$IteratorSpliterator.forEachRemaining(Consumer) Spliterators.java","2167","171"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.get(Object) PersistentTrieMap.java","2134","13"
"mb.statix.concurrent.StatixSolver$1.caseNew(CNew) StatixSolver.java","2134","0"
"mb.statix.concurrent.StatixSolver$1.caseNew(CNew) StatixSolver.java","2134","0"
"mb.statix.constraints.CNew.matchOrThrow(IConstraint$CheckedCases) CNew.java","2134","0"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.getEquivalent(Object, EqualityComparator) PersistentTrieMap.java","2120","1064"
"mb.nabl2.terms.Terms$CheckedCaseBuilder$1.caseAppl(IApplTerm) Terms.java","2098","37"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable.unify(Iterable, Predicate1) PersistentUnifier.java","1986","19"
"mb.p_raffrayi.impl.AbstractUnit$1.getDatum(Object) AbstractUnit.java","1916","0"
"mb.p_raffrayi.nameresolution.StateMachineQuery$1.getDatum(Object) StateMachineQuery.java","1916","0"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.normalizeDiseqs(PersistentUnifier$Immutable, Set$Immutable) PersistentUniDisunifier.java","1914","32"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.diffUnifier(Collection) PersistentUnifier.java","1866","17"
"mb.nabl2.terms.Terms$1.caseAppl(IApplTerm) Terms.java","1865","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.addDomainVar(ITermVar) PersistentUnifier.java","1843","72"
"java.util.Map.getOrDefault(Object, Object) Map.java","1809","87"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable.removeAll(Iterable) PersistentUnifier.java","1808","6"
"mb.statix.concurrent.StatixSolver$1$$Lambda$929.k(Object, Throwable, int)","1804","18"
"mb.statix.constraints.CConj.unsafeApply(ISubstitution$Immutable) CConj.java","1789","181"
"mb.statix.concurrent.StatixSolver$1.lambda$9(IResolveQuery, ITerm, Set, Throwable, int) StatixSolver.java","1786","24"
"mb.statix.concurrent.StatixSolver.entails(ITypeCheckerContext, Spec, IState$Immutable, IConstraint, ICompleteness$Immutable, IDebugContext, SolverTracer, ICancel, IProgress, int) StatixSolver.java","1755","0"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1.caseCExp(RVar, RExp) ResolutionInterpreter.java","1717","0"
"mb.scopegraph.ecoop21.ResolutionInterpreter$1.caseCExp(RVar, RExp) ResolutionInterpreter.java","1717","0"
"mb.scopegraph.resolution.RCExp.match(RExp$Cases) RCExp.java","1717","0"
"mb.nabl2.terms.unification.u.BaseUnifier.findTerm(ITerm) BaseUnifier.java","1701","39"
"mb.nabl2.terms.build.AAppl3Term.match(ITerm$Cases) AAppl3Term.java","1680","16"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.<init>(PersistentTrieMap) PersistentTrieMap.java","1628","992"
"mb.statix.constraints.CConj.unsafeApply(ISubstitution$Immutable) CConj.java","1602","45"
"mb.statix.concurrent.StatixSolver.removeCompleteness(IConstraint) StatixSolver.java","1590","43"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.addRangeVar(ITermVar, int) PersistentUnifier.java","1587","30"
"mb.p_raffrayi.impl.AbstractUnit$1.lambda$4(ILogger, Object, boolean, DataWf, IActorRef, Unit) AbstractUnit.java","1576","37"
"mb.p_raffrayi.impl.AbstractUnit$1$$Lambda$993.apply(Object)","1576","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$RemoveAll.apply() PersistentUnifier.java","1552","20"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable.findRep(ITermVar) PersistentUnifier.java","1543","140"
"mb.nabl2.terms.matching.MaybeNotInstantiated$NotInstantiated.orElseThrow(Function1) MaybeNotInstantiated.java","1537","1537"
"mb.nabl2.terms.substitution.PersistentSubstitution.apply(ITerm) PersistentSubstitution.java","1530","93"
"io.usethesource.capsule.core.PersistentTrieSet.__insert(Object) PersistentTrieSet.java","1522","83"
"io.usethesource.capsule.core.PersistentTrieMap$CompactMapNode.updated(AtomicReference, Object, Object, int, int, MapNodeResult, EqualityComparator) PersistentTrieMap.java","1519","515"
"io.usethesource.capsule.core.PersistentTrieMap$CompactMapNode.updated(AtomicReference, Object, Object, int, int, MapNodeResult, EqualityComparator) PersistentTrieMap.java","1500","0"
"mb.statix.concurrent.StatixSolver.delayAction(CheckedAction0, Iterable) StatixSolver.java","1472","0"
"mb.nabl2.terms.unification.ud.Diseq.of(Iterable, IUnifier$Immutable) Diseq.java","1461","11"
"mb.p_raffrayi.actors.impl.Actor.lambda$15(ICompletable, Object, Throwable) Actor.java","1459","0"
