"Method","Time (ms)","Own Time (ms)"
"mb.scopegraph.ecoop21.NameResolution.smaller(Set$Immutable, EdgeOrData) NameResolution.java","6779","76"
"mb.nabl2.terms.build.AbstractApplTerm.equals(Object) AbstractApplTerm.java","6589","2078"
"mb.nabl2.terms.build.AAppl1Term.equals(Object) AAppl1Term.java","6318","98"
"mb.nabl2.terms.build.ATermVar.matchOrThrow(ITerm$CheckedCases) ATermVar.java","6065","86"
"mb.p_raffrayi.impl.AbstractUnit._query(IActorRef, ScopePath, IQuery, DataWf, DataLeq) AbstractUnit.java","6059","1"
"mb.nabl2.terms.Terms$3.caseVar(ITermVar) Terms.java","5908","18"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$655.apply(Object)","5889","210"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$5(ITerm, ITermVar) PersistentUnifier.java","5679","20"
"mb.nabl2.terms.matching.TermPattern$P.matchWithEqs(Iterable, Iterable, IUnifier$Immutable, VarProvider) TermPattern.java","5475","0"
"mb.scopegraph.ecoop21.RegExpLabelWf.step(Object) RegExpLabelWf.java","5244","292"
"mb.nabl2.terms.matching.Pattern.matchWithEqs(ITerm, IUnifier$Immutable, VarProvider) Pattern.java","5170","278"
"mb.statix.concurrent.StatixSolver$ConstraintDataWF.wf(Object, ITypeCheckerContext, ICancel) StatixSolver.java","4979","14"
"mb.statix.concurrent.StatixSolver$ConstraintDataWF.wf(ITerm, ITypeCheckerContext, ICancel) StatixSolver.java","4969","4"
"mb.statix.concurrent.StatixSolver.entail() StatixSolver.java","4924","0"
"mb.scopegraph.regexp.RegExpMatcher.match(Object) RegExpMatcher.java","4888","18"
"mb.scopegraph.regexp.RegExpMatcher.match(Object) RegExpMatcher.java","4869","326"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet.__insertEquivalentWithCapability(AtomicReference, Object, EqualityComparator) PersistentTrieSet.java","4816","353"
"mb.nabl2.terms.matching.ApplPattern.matchTerm(ITerm, ISubstitution$Transient, IUnifier$Immutable, Pattern$Eqs) ApplPattern.java","4758","52"
"java.util.stream.ReferencePipeline.collect(Collector) ReferencePipeline.java","4740","1921"
"io.usethesource.capsule.core.PersistentTrieSet$TransientTrieSet.__insert(Object) PersistentTrieSet.java","4558","58"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet.__insertWithCapability(AtomicReference, Object) PersistentTrieSet.java","4500","42"
"mb.scopegraph.regexp.RegExpMatcher$State.transition(Object) RegExpMatcher.java","4424","787"
"io.usethesource.capsule.core.PersistentTrieSet$CompactSetNode.updated(AtomicReference, Object, int, int, SetNodeResult, EqualityComparator) PersistentTrieSet.java","4415","155"
"io.usethesource.capsule.core.PersistentTrieSet$CompactSetNode.updated(AtomicReference, Object, int, int, SetNodeResult, EqualityComparator) PersistentTrieSet.java","4389","841"
"mb.scopegraph.oopsla20.reference.EdgeOrData$Edge.equals(Object) EdgeOrData.java","4356","529"
"mb.nabl2.terms.Terms$CaseBuilder$1.caseAppl(IApplTerm) Terms.java","4290","26"
"mb.p_raffrayi.actors.impl.Actor.lambda$14(ICompletableFuture, Object, Throwable) Actor.java","4280","0"
"mb.p_raffrayi.actors.impl.Actor$$Lambda$1142.dispatch()","4280","0"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.unify(Iterable, Predicate1) PersistentUniDisunifier.java","4241","0"
"mb.nabl2.terms.matching.ApplPattern$$Lambda$503.apply(Object)","4205","259"
"org.metaborg.util.collection.HashTrieRelation2.get(Object) HashTrieRelation2.java","4128","78"
"mb.nabl2.terms.unification.ud.IUniDisunifier$Immutable.unify(Iterable) IUniDisunifier.java","4017","0"
"mb.nabl2.terms.matching.ApplPattern.lambda$0(ISubstitution$Transient, IUnifier$Immutable, Pattern$Eqs, IApplTerm) ApplPattern.java","4004","385"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.putTerm(ITermVar, ITerm) PersistentUnifier.java","3995","39"
"io.usethesource.capsule.core.AbstractTrieSetMultimap.get(Object) AbstractTrieSetMultimap.java","3972","639"
"org.metaborg.util.collection.HashTrieRelation2.get(Object) HashTrieRelation2.java","3964","42"
"mb.nabl2.terms.build.AAppl2Term.match(ITerm$Cases) AAppl2Term.java","3773","18"
"mb.nabl2.terms.matching.Pattern.matchTerms(Iterable, Iterable, ISubstitution$Transient, IUnifier$Immutable, Pattern$Eqs) Pattern.java","3698","726"
"java.util.HashMap.getOrDefault(Object, Object) HashMap.java","3689","790"
"io.usethesource.capsule.core.PersistentTrieSet.iterator() PersistentTrieSet.java","3614","172"
"java.util.Objects.equals(Object, Object) Objects.java","3495","1981"
"java.util.HashMap.containsKey(Object) HashMap.java","3476","1597"
"io.usethesource.capsule.core.PersistentTrieSet.keyIterator() PersistentTrieSet.java","3441","473"
"mb.nabl2.terms.unification.ud.IUniDisunifier$Immutable.disunify(Iterable, ITerm, ITerm) IUniDisunifier.java","3434","0"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.disunify(Iterable, ITerm, ITerm, Predicate1) PersistentUniDisunifier.java","3434","0"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.normalizeDiseq(IUnifier$Immutable, Function0, Diseq, PersistentUnifier$Transient) PersistentUniDisunifier.java","3417","55"
"mb.p_raffrayi.nameresolution.NameResolutionQuery$1.getDatum(Object) NameResolutionQuery.java","3404","10"
